"id","run_date","platform","pipeline_name","table_name","pipeline_type","source_system","source_layer","target_layer","run_type","schedule","duration_seconds","status","owner","duration"
19,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,631,Success,Blazeclan,"0:10:31"
20,2026-03-01,Databricks,prod-gdo-fdh-workflow-ga-dtls-daily,,,,,,Scheduled,Daily (9:00 AM),638,Success,DXC,"0:10:38"
21,2026-03-01,Databricks,prod-gdo-fdh-workflow-ga-dtls-goal,,,,,,Scheduled,Daily (9:00 AM),666,Success,DXC,"0:11:06"
22,2026-03-01,Databricks,prod-gdo-fdh-workflow-qualtrics-silver,,,,,,Scheduled,Daily (9:00 AM),539,Success,Blazeclan,"0:08:59"
23,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,675,Success,Blazeclan,"0:11:15"
24,2026-03-01,Databricks,prod-gdo-fdh-daily-workflow-tillster,,Batch,Tillster,,Bronze,Scheduled,Daily (10:23 AM),811,Success,Blazeclan,"0:13:31"
25,2026-03-01,Databricks,prod-gdo-fdh-grabfood-workflow,,,,,,Scheduled,Daily (10:30 AM),949,Success,TM,"0:15:49"
26,2026-03-01,Databricks,prod-gdo-fdh-workflow-foodpanda,,,,,,Scheduled,Daily (10:30 AM),891,Success,TM,"0:14:51"
27,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,670,Success,Blazeclan,"0:11:10"
28,2026-03-01,Databricks,prod-gdo-fdh-silver-okya-jb-user-address-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1062,Success,TA,"0:17:42"
29,2026-03-01,Databricks,prod-gdo-fdh-silver-okya-jb-order-tender-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),758,Success,TA,"0:12:38"
30,2026-03-01,Databricks,prod-gdo-fdh-silver-okya-jb-order-items-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),906,Success,TA,"0:15:06"
31,2026-03-01,Databricks,prod-gdo-fdh-silver-okya-jb-order-staging-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1314,Success,TA,"0:21:54"
32,2026-03-01,Databricks,prod-gdo-fdh-silver-okya-jb-customer-workflow,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1214,Success,TA,"0:20:14"
33,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,640,Success,Blazeclan,"0:10:40"
34,2026-03-01,Databricks,prod-gdo-fdh-silver-tillster-jb-order-staging-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),802,Success,TA,"0:13:22"
35,2026-03-01,Databricks,prod-gdo-fdh-silver-tillster-jb-customer-workflow,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),814,Success,TA,"0:13:34"
36,2026-03-01,Databricks,prod-gdo-fdh-silver-tillster-jb-order-tender-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),636,Success,TA,"0:10:36"
37,2026-03-01,Databricks,prod-gdo-fdh-silver-tillster-jb-order-items-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),739,Success,TA,"0:12:19"
38,2026-03-01,Databricks,prod-gdo-fdh-silver-okya-jb-deactivation-workflow,,Batch,Okya,,Silver,Scheduled,Daily (12:00 PM),2078,Failed,TA,"0:34:38"
39,2026-03-01,Databricks,prod-gdo-fdh-gold-archive-tables-job,,Batch,"Tillster, Okya",,Gold,Scheduled,Daily (12:30 PM),726,Success,TA,"0:12:06"
40,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,621,Success,Blazeclan,"0:10:21"
41,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,640,Success,Blazeclan,"0:10:40"
42,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,635,Success,Blazeclan,"0:10:35"
43,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,667,Success,Blazeclan,"0:11:07"
44,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,643,Success,Blazeclan,"0:10:43"
45,2026-03-01,Databricks,fdh_workflow_gemm_trademarketinggroup,,,,,,Scheduled,Daily (5:00 PM),672,Success,GDO,"0:11:12"
46,2026-03-01,Databricks,fdh-workflow-gemm_storevisitresponses,,,,,,Scheduled,Daily (5:00 PM),722,Success,GDO,"0:12:02"
47,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,643,Success,Blazeclan,"0:10:43"
48,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,631,Success,Blazeclan,"0:10:31"
49,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,1500,Success,Blazeclan,"0:25:00"
50,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,624,Success,Blazeclan,"0:10:24"
51,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,645,Success,Blazeclan,"0:10:45"
52,2026-03-01,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,659,Success,Blazeclan,"0:10:59"
53,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,660,Success,Blazeclan,"0:11:00"
54,2026-03-02,Databricks,prod-gdo-fdh-workflow-digital-performance,,,,,,Scheduled,Daily (12:30 AM) ,631,Failed,TM,"0:10:31"
55,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,639,Success,Blazeclan,"0:10:39"
56,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,655,Success,Blazeclan,"0:10:55"
57,2026-03-02,Databricks,prod-gdo-fdh-workflow-braze,,,,,,Scheduled,Daily (2:00 AM),1310,Success,TM,"0:21:50"
58,2026-03-02,Databricks,prod-gdo-fdh-workflow-qmai-bronze,,Streaming,QMAI,,Bronze,Scheduled,Daily (2:00 AM),801,Success,Blazeclan,"0:13:21"
59,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,631,Success,Blazeclan,"0:10:31"
60,2026-03-02,Databricks,prod-gdo-fdh-workflow-qmai-silver-product_goods,,,,,,Scheduled,Daily (3:00 AM),525,Success,Blazeclan,"0:08:45"
61,2026-03-02,Databricks,prod-gdo-fdh-workflow-qmai-silver,,Batch,QMAI,,Silver,Scheduled,Daily (3:00 AM),434,Success,Blazeclan,"0:07:14"
62,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,680,Success,Blazeclan,"0:11:20"
63,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,690,Success,Blazeclan,"0:11:30"
64,2026-03-02,Databricks,prod-gdo-fdh-daily-workflow-ironman-rdbms,,,,,,Scheduled,Daily (5:30 AM),765,Success,Blazeclan,"0:12:45"
65,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,633,Success,Blazeclan,"0:10:33"
66,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,651,Success,Blazeclan,"0:10:51"
67,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya-silver,,,,,,Scheduled,Daily (7:24 AM),760,Success,Blazeclan,"0:12:40"
68,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,630,Success,Blazeclan,"0:10:30"
69,2026-03-02,Databricks,prod-gdo-fdh-daily-workflow-qualtrics-api,,,,,,Scheduled,Daily (8:23 AM),831,Success,Blazeclan,"0:13:51"
70,2026-03-02,Databricks,prod-gdo-fdh-daily-workflow-okya-api,,Batch,Okya,,Bronze,Scheduled,Daily (8:23 AM),1391,Success,Blazeclan,"0:23:11"
71,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,630,Success,Blazeclan,"0:10:30"
72,2026-03-02,Databricks,prod-gdo-fdh-workflow-ga-dtls-daily,,,,,,Scheduled,Daily (9:00 AM),647,Success,DXC,"0:10:47"
73,2026-03-02,Databricks,prod-gdo-fdh-workflow-ga-dtls-goal,,,,,,Scheduled,Daily (9:00 AM),675,Success,DXC,"0:11:15"
74,2026-03-02,Databricks,prod-gdo-fdh-workflow-qualtrics-silver,,,,,,Scheduled,Daily (9:00 AM),535,Success,Blazeclan,"0:08:55"
75,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,640,Success,Blazeclan,"0:10:40"
76,2026-03-02,Databricks,prod-gdo-fdh-daily-workflow-tillster,,Batch,Tillster,,Bronze,Scheduled,Daily (10:23 AM),797,Success,Blazeclan,"0:13:17"
77,2026-03-02,Databricks,prod-gdo-fdh-grabfood-workflow,,,,,,Scheduled,Daily (10:30 AM),733,Success,TM,"0:12:13"
78,2026-03-02,Databricks,prod-gdo-fdh-workflow-foodpanda,,,,,,Scheduled,Daily (10:30 AM),889,Success,TM,"0:14:49"
79,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,649,Success,Blazeclan,"0:10:49"
80,2026-03-02,Databricks,Daily Run - Freedompay,,,,,,Scheduled,Daily (10:00 AM),710,Success,GDO,"0:11:50"
81,2026-03-02,Databricks,prod-gdo-fdh-silver-okya-jb-user-address-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),868,Success,TA,"0:14:28"
82,2026-03-02,Databricks,prod-gdo-fdh-silver-okya-jb-order-tender-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),745,Success,TA,"0:12:25"
83,2026-03-02,Databricks,prod-gdo-fdh-silver-okya-jb-order-items-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1045,Success,TA,"0:17:25"
84,2026-03-02,Databricks,prod-gdo-fdh-silver-okya-jb-order-staging-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1222,Success,TA,"0:20:22"
85,2026-03-02,Databricks,prod-gdo-fdh-silver-okya-jb-customer-workflow,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1121,Success,TA,"0:18:41"
86,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,640,Success,Blazeclan,"0:10:40"
87,2026-03-02,Databricks,prod-gdo-fdh-silver-tillster-jb-order-staging-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),797,Success,TA,"0:13:17"
88,2026-03-02,Databricks,prod-gdo-fdh-silver-tillster-jb-customer-workflow,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),808,Success,TA,"0:13:28"
89,2026-03-02,Databricks,prod-gdo-fdh-silver-tillster-jb-order-tender-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),620,Success,TA,"0:10:20"
90,2026-03-02,Databricks,prod-gdo-fdh-silver-tillster-jb-order-items-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),626,Success,TA,"0:10:26"
91,2026-03-02,Databricks,prod-gdo-fdh-silver-okya-jb-deactivation-workflow,,Batch,Okya,,Silver,Scheduled,Daily (12:00 PM),2171,Failed,TA,"0:36:11"
92,2026-03-02,Databricks,prod-gdo-fdh-gold-archive-tables-job,,Batch,"Tillster, Okya",,Gold,Scheduled,Daily (12:30 PM),728,Success,TA,"0:12:08"
93,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,623,Success,Blazeclan,"0:10:23"
94,2026-03-02,Databricks,prod-gdo-fdh-c360-pipeline,,Batch,"Tillster, Okya",,Gold,Scheduled,Weekly (Monday 2:00 PM),3040,Failed,TA,"0:50:40"
95,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,630,Success,Blazeclan,"0:10:30"
96,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,645,Success,Blazeclan,"0:10:45"
97,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,668,Success,Blazeclan,"0:11:08"
98,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,677,Success,Blazeclan,"0:11:17"
99,2026-03-02,Databricks,fdh_workflow_gemm_trademarketinggroup,,,,,,Scheduled,Daily (5:00 PM),694,Success,GDO,"0:11:34"
100,2026-03-02,Databricks,fdh-workflow-gemm_storevisitresponses,,,,,,Scheduled,Daily (5:00 PM),753,Success,GDO,"0:12:33"
101,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,649,Success,Blazeclan,"0:10:49"
102,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,638,Success,Blazeclan,"0:10:38"
103,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,654,Success,Blazeclan,"0:10:54"
104,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,667,Success,Blazeclan,"0:11:07"
105,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,675,Success,Blazeclan,"0:11:15"
106,2026-03-02,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,674,Success,Blazeclan,"0:11:14"
107,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,674,Success,Blazeclan,"0:11:14"
108,2026-03-03,Databricks,prod-gdo-fdh-workflow-digital-performance,,,,,,Scheduled,Daily (12:30 AM) ,8648,Success,TM,"2:24:08"
109,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,637,Success,Blazeclan,"0:10:37"
110,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,650,Success,Blazeclan,"0:10:50"
111,2026-03-03,Databricks,prod-gdo-fdh-workflow-braze,,,,,,Scheduled,Daily (2:00 AM),1321,Success,TM,"0:22:01"
112,2026-03-03,Databricks,prod-gdo-fdh-workflow-qmai-bronze,,Streaming,QMAI,,Bronze,Scheduled,Daily (2:00 AM),838,Success,Blazeclan,"0:13:58"
113,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,648,Success,Blazeclan,"0:10:48"
114,2026-03-03,Databricks,prod-gdo-fdh-workflow-qmai-silver-product_goods,,,,,,Scheduled,Daily (3:00 AM),535,Success,Blazeclan,"0:08:55"
115,2026-03-03,Databricks,prod-gdo-fdh-workflow-qmai-silver,,Batch,QMAI,,Silver,Scheduled,Daily (3:00 AM),430,Success,Blazeclan,"0:07:10"
116,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,655,Success,Blazeclan,"0:10:55"
117,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,633,Success,Blazeclan,"0:10:33"
118,2026-03-03,Databricks,prod-gdo-fdh-daily-workflow-ironman-rdbms,,,,,,Scheduled,Daily (5:30 AM),800,Success,Blazeclan,"0:13:20"
119,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,667,Success,Blazeclan,"0:11:07"
120,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,659,Success,Blazeclan,"0:10:59"
121,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya-silver,,,,,,Scheduled,Daily (7:24 AM),744,Success,Blazeclan,"0:12:24"
122,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,661,Success,Blazeclan,"0:11:01"
123,2026-03-03,Databricks,prod-gdo-fdh-daily-workflow-qualtrics-api,,,,,,Scheduled,Daily (8:23 AM),813,Success,Blazeclan,"0:13:33"
124,2026-03-03,Databricks,prod-gdo-fdh-daily-workflow-okya-api,,Batch,Okya,,Bronze,Scheduled,Daily (8:23 AM),1384,Success,Blazeclan,"0:23:04"
125,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,667,Success,Blazeclan,"0:11:07"
126,2026-03-03,Databricks,prod-gdo-fdh-workflow-ga-dtls-daily,,,,,,Scheduled,Daily (9:00 AM),648,Success,DXC,"0:10:48"
127,2026-03-03,Databricks,prod-gdo-fdh-workflow-ga-dtls-goal,,,,,,Scheduled,Daily (9:00 AM),642,Success,DXC,"0:10:42"
128,2026-03-03,Databricks,prod-gdo-fdh-workflow-qualtrics-silver,,,,,,Scheduled,Daily (9:00 AM),538,Success,Blazeclan,"0:08:58"
129,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,662,Success,Blazeclan,"0:11:02"
130,2026-03-03,Databricks,prod-gdo-fdh-daily-workflow-tillster,,Batch,Tillster,,Bronze,Scheduled,Daily (10:23 AM),854,Success,Blazeclan,"0:14:14"
131,2026-03-03,Databricks,prod-gdo-fdh-grabfood-workflow,,,,,,Scheduled,Daily (10:30 AM),1120,Success,TM,"0:18:40"
132,2026-03-03,Databricks,prod-gdo-fdh-workflow-foodpanda,,,,,,Scheduled,Daily (10:30 AM),887,Success,TM,"0:14:47"
133,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,672,Success,Blazeclan,"0:11:12"
134,2026-03-03,Databricks,Daily Run - Freedompay,,,,,,,Daily (10:00 AM),757,Success,GDO,"0:12:37"
135,2026-03-03,Databricks,prod-gdo-fdh-silver-okya-jb-user-address-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1113,Success,TA,"0:18:33"
136,2026-03-03,Databricks,prod-gdo-fdh-silver-okya-jb-order-tender-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),872,Success,TA,"0:14:32"
137,2026-03-03,Databricks,prod-gdo-fdh-silver-okya-jb-order-items-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1025,Success,TA,"0:17:05"
138,2026-03-03,Databricks,prod-gdo-fdh-silver-okya-jb-order-staging-job,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1280,Success,TA,"0:21:20"
139,2026-03-03,Databricks,prod-gdo-fdh-silver-okya-jb-customer-workflow,,Batch,Okya,,Silver,Scheduled,Daily (11:30 AM),1282,Success,TA,"0:21:22"
140,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,696,Success,Blazeclan,"0:11:36"
141,2026-03-03,Databricks,prod-gdo-fdh-silver-tillster-jb-order-staging-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),824,Success,TA,"0:13:44"
142,2026-03-03,Databricks,prod-gdo-fdh-silver-tillster-jb-customer-workflow,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),812,Success,TA,"0:13:32"
143,2026-03-03,Databricks,prod-gdo-fdh-silver-tillster-jb-order-tender-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),638,Success,TA,"0:10:38"
144,2026-03-03,Databricks,prod-gdo-fdh-silver-tillster-jb-order-items-job,,Batch,Tillster,,Silver,Scheduled,Daily (12:00 PM),667,Success,TA,"0:11:07"
145,2026-03-03,Databricks,prod-gdo-fdh-silver-okya-jb-deactivation-workflow,,Batch,Okya,,Silver,Scheduled,Daily (12:00 PM),2139,Failed,TA,"0:35:39"
146,2026-03-03,Databricks,prod-gdo-fdh-gold-archive-tables-job,,Batch,"Tillster, Okya",,Gold,Scheduled,Daily (12:30 PM),781,Success,TA,"0:13:01"
147,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,653,Success,Blazeclan,"0:10:53"
148,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,631,Success,Blazeclan,"0:10:31"
149,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,633,Success,Blazeclan,"0:10:33"
150,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,638,Success,Blazeclan,"0:10:38"
151,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,644,Success,Blazeclan,"0:10:44"
152,2026-03-03,Databricks,fdh_workflow_gemm_trademarketinggroup,,,,,,Scheduled,Daily (5:00 PM),699,Success,GDO,"0:11:39"
153,2026-03-03,Databricks,fdh-workflow-gemm_storevisitresponses,,,,,,Scheduled,Daily (5:00 PM),756,Success,GDO,"0:12:36"
154,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,650,Success,Blazeclan,"0:10:50"
155,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,627,Success,Blazeclan,"0:10:27"
156,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,642,Success,Blazeclan,"0:10:42"
157,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,641,Success,Blazeclan,"0:10:41"
158,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,657,Success,Blazeclan,"0:10:57"
159,2026-03-03,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,672,Success,Blazeclan,"0:11:12"
160,2026-03-04,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,630,Success,Blazeclan,"0:10:30"
161,2026-03-04,Databricks,prod-gdo-fdh-workflow-digital-performance,,,,,,Scheduled,Daily (12:30 AM) ,968,Failed,TM,"0:16:08"
162,2026-03-04,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,651,Success,Blazeclan,"0:10:51"
163,2026-03-04,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,668,Success,Blazeclan,"0:11:08"
164,2026-03-04,Databricks,prod-gdo-fdh-workflow-braze,,,,,,Scheduled,Daily (2:00 AM),1805,Success,TM,"0:30:05"
165,2026-03-04,Databricks,prod-gdo-fdh-workflow-qmai-bronze,,Streaming,QMAI,,Bronze,Scheduled,Daily (2:00 AM),819,Success,Blazeclan,"0:13:39"
166,2026-03-04,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,638,Success,Blazeclan,"0:10:38"
167,2026-03-04,Databricks,prod-gdo-fdh-workflow-qmai-silver-product_goods,,,,,,Scheduled,Daily (3:00 AM),525,Success,Blazeclan,"0:08:45"
168,2026-03-04,Databricks,prod-gdo-fdh-workflow-qmai-silver,,Batch,QMAI,,Silver,Scheduled,Daily (3:00 AM),424,Success,Blazeclan,"0:07:04"
169,2026-03-04,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,658,Success,Blazeclan,"0:10:58"
170,2026-03-04,Databricks,prod-gdo-fdh-workflow-okya,,Streaming,Okya,,Bronze,Scheduled,Hourly,633,Success,Blazeclan,"0:10:33"
